	lmd		Sun_flux	Sun_phot	SunV14_phot
	um		W/m2/nm	    photon/s/m2/nm  photon/s/m2/nm
   1.9980000e-01   7.5200000e-03   7.5585874e+15   7.5585874e-01
   2.0170000e-01   8.1600000e-03   8.2798672e+15   8.2798672e-01
   2.0350000e-01   9.1200000e-03   9.3365530e+15   9.3365530e-01
   2.0520000e-01   1.0770000e-02   1.1117839e+16   1.1117839e+00
   2.0700000e-01   1.1690000e-02   1.2173408e+16   1.2173408e+00
   2.0880000e-01   1.4920000e-02   1.5672080e+16   1.5672080e+00
   2.1060000e-01   2.5070000e-02   2.6560730e+16   2.6560730e+00
   2.1240000e-01   3.4610000e-02   3.6981407e+16   3.6981407e+00
   2.1420000e-01   3.5660000e-02   3.8426260e+16   3.8426260e+00
   2.1600000e-01   4.0100000e-02   4.3573800e+16   4.3573800e+00
   2.1770000e-01   3.6240000e-02   3.9689345e+16   3.9689345e+00
   2.1950000e-01   4.7730000e-02   5.2705177e+16   5.2705177e+00
   2.2130000e-01   4.8350000e-02   5.3827624e+16   5.3827624e+00
   2.2300000e-01   4.9870000e-02   5.5946323e+16   5.5946323e+00
   2.2480000e-01   6.3680000e-02   7.2015615e+16   7.2015615e+00
   2.2650000e-01   5.0120000e-02   5.7109267e+16   5.7109267e+00
   2.2830000e-01   4.2980000e-02   4.9362783e+16   4.9362783e+00
   2.3000000e-01   5.0530000e-02   5.8466143e+16   5.8466143e+00
   2.3180000e-01   5.2250000e-02   6.0929419e+16   6.0929419e+00
   2.3350000e-01   5.0510000e-02   5.9332352e+16   5.9332352e+00
   2.3520000e-01   4.2110000e-02   4.9825294e+16   4.9825294e+00
   2.3690000e-01   5.0180000e-02   5.9803008e+16   5.9803008e+00
   2.3900000e-01   4.4750000e-02   5.3804457e+16   5.3804457e+00
   2.4070000e-01   4.2160000e-02   5.1050971e+16   5.1050971e+00
   2.4250000e-01   5.4960000e-02   6.7047993e+16   6.7047993e+00
   2.4450000e-01   6.5710000e-02   8.0823498e+16   8.0823498e+00
   2.4760000e-01   5.0590000e-02   6.3014810e+16   6.3014810e+00
   2.4930000e-01   4.7010000e-02   5.8957606e+16   5.8957606e+00
   2.5100000e-01   5.7710000e-02   7.2870560e+16   7.2870560e+00
   2.5270000e-01   4.3520000e-02   5.5325003e+16   5.5325003e+00
   2.5440000e-01   5.1090000e-02   6.5385331e+16   6.5385331e+00
   2.5640000e-01   7.6920000e-02   9.9216662e+16   9.9216662e+00
   2.5810000e-01   1.2040000e-01   1.5632981e+17   1.5632981e+01
   2.5970000e-01   1.1640000e-01   1.5207305e+17   1.5207305e+01
   2.6140000e-01   8.5330000e-02   1.1221080e+17   1.1221080e+01
   2.6310000e-01   1.0160000e-01   1.3447510e+17   1.3447510e+01
   2.6480000e-01   2.1050000e-01   2.8041252e+17   2.8041252e+01
   2.6640000e-01   2.5310000e-01   3.3919831e+17   3.3919831e+01
   2.6810000e-01   2.5130000e-01   3.3893515e+17   3.3893515e+01
   2.6970000e-01   2.4620000e-01   3.3403833e+17   3.3403833e+01
   2.7140000e-01   2.6480000e-01   3.6153899e+17   3.6153899e+01
   2.7300000e-01   2.0880000e-01   2.8676124e+17   2.8676124e+01
   2.7470000e-01   1.6960000e-01   2.3437529e+17   2.3437529e+01
   2.7630000e-01   1.9070000e-01   2.6506897e+17   2.6506897e+01
   2.7790000e-01   2.4170000e-01   3.3790336e+17   3.3790336e+01
   2.7960000e-01   1.3520000e-01   1.9016963e+17   1.9016963e+01
   2.8120000e-01   1.0930000e-01   1.5461898e+17   1.5461898e+01
   2.8280000e-01   2.6540000e-01   3.7757883e+17   3.7757883e+01
   2.8440000e-01   3.0160000e-01   4.3150740e+17   4.3150740e+01
   2.8610000e-01   1.8820000e-01   2.7087242e+17   2.7087242e+01
   2.8770000e-01   3.4050000e-01   4.9281542e+17   4.9281542e+01
   2.8930000e-01   3.4870000e-01   5.0749024e+17   5.0749024e+01
   2.9090000e-01   5.6180000e-01   8.2215323e+17   8.2215323e+01
   2.9250000e-01   5.6340000e-01   8.2902958e+17   8.2902958e+01
   2.9410000e-01   5.3070000e-01   7.8518397e+17   7.8518397e+01
   2.9570000e-01   5.2510000e-01   7.8112521e+17   7.8112521e+01
   2.9730000e-01   5.0790000e-01   7.5962708e+17   7.5962708e+01
   2.9890000e-01   4.9060000e-01   7.3770168e+17   7.3770168e+01
   3.0040000e-01   4.6290000e-01   6.9954301e+17   6.9954301e+01
   3.0200000e-01   4.4740000e-01   6.7972029e+17   6.7972029e+01
   3.0360000e-01   5.5900000e-01   8.5377000e+17   8.5377000e+01
   3.0520000e-01   6.1690000e-01   9.4716712e+17   9.4716712e+01
   3.0670000e-01   5.8020000e-01   8.9519740e+17   8.9519740e+01
   3.0830000e-01   6.3190000e-01   9.8005217e+17   9.8005217e+01
   3.0980000e-01   5.5820000e-01   8.6995855e+17   8.6995855e+01
   3.1140000e-01   6.8600000e-01   1.0746574e+18   1.0746574e+02
